league_code,league_ar,team_id,name_en,name_en_official,name_ar,short_name_ar,city,logo,logo_local,logo_note
QAT,دوري نجوم قطر,2901,Al-Khor,,نادي الخور,الخور,Al-Khor,https://media.api-sports.io/football/teams/2901.png,,
QAT,دوري نجوم قطر,2902,Muaither SC,,نادي معيذر,معيذر,Doha,https://media.api-sports.io/football/teams/2902.png,,
QAT,دوري نجوم قطر,2894,Al Kharaitiyat,,نادي الخريطيات,الخريطيات,Al-Khor,https://media.api-sports.io/football/teams/2894.png,,
QAT,دوري نجوم قطر,7527,Lusail City,,نادي لوسيل,لوسيل,,https://media.api-sports.io/football/teams/7527.png,,
MAR,الدوري المغربي,3453,Maghreb Fès,,نادي المغرب الفاسي,المغرب الفاسي,فاس,https://media.api-sports.io/football/teams/3453.png,,
MAR,الدوري المغربي,962,Renaissance Berkane,,نادي نهضة بركان,نهضة بركان,بركان,https://media.api-sports.io/football/teams/962.png,,
MAR,الدوري المغربي,976,Raja Casablanca,,نادي الرجاء الرياضي,الرجاء,الدار البيضاء,https://media.api-sports.io/football/teams/976.png,,
MAR,الدوري المغربي,969,FAR Rabat,,نادي الجيش الملكي,الجيش الملكي,الرباط,https://media.api-sports.io/football/teams/969.png,,
MAR,الدوري المغربي,968,Wydad AC,,نادي الوداد الرياضي,الوداد,الدار البيضاء,https://media.api-sports.io/football/teams/968.png,,
MAR,الدوري المغربي,964,Difaa El Jadida,,نادي الدفاع الحسني الجديدي,الدفاع الحسني,الجديدة,https://media.api-sports.io/football/teams/964.png,,
MAR,الدوري المغربي,974,Ittihad Tanger,,نادي اتحاد طنجة,اتحاد طنجة,طنجة,https://media.api-sports.io/football/teams/974.png,,
MAR,الدوري المغربي,977,FUS Rabat,,نادي الفتح الرياضي,الفتح,الرباط,https://media.api-sports.io/football/teams/977.png,,
MAR,الدوري المغربي,22218,CODM Meknès,,النادي المكناسي,النادي المكناسي,مكناس,https://media.api-sports.io/football/teams/22218.png,,
MAR,الدوري المغربي,971,Kawkab Marrakech,,نادي الكوكب المراكشي,الكوكب المراكشي,مراكش,https://media.api-sports.io/football/teams/971.png,,
MAR,الدوري المغربي,3449,CR Khemis Zemamra,,نادي نهضة الزمامرة,نهضة الزمامرة,الزمامرة,https://media.api-sports.io/football/teams/3449.png,,
MAR,الدوري المغربي,973,Hassania Agadir,,نادي حسنية أكادير,حسنية أكادير,أكادير,https://media.api-sports.io/football/teams/973.png,,
MAR,الدوري المغربي,14806,UTS Rabat,,نادي اتحاد تواركة,اتحاد تواركة,الرباط,https://media.api-sports.io/football/teams/14806.png,,
MAR,الدوري المغربي,3454,Olympique Dcheïra,,نادي أولمبيك الدشيرة,أولمبيك الدشيرة,الدشيرة,https://media.api-sports.io/football/teams/3454.png,,
MAR,الدوري المغربي,25058,Yacoub El Mansour,,نادي اتحاد يعقوب المنصور,اتحاد يعقوب المنصور,الرباط,https://media.api-sports.io/football/teams/25058.png,,
MAR,الدوري المغربي,975,Olympique Safi,,نادي أولمبيك آسفي,أولمبيك آسفي,آسفي,https://media.api-sports.io/football/teams/975.png,,
MAR,الدوري المغربي,965,Moghreb Tetouan,,نادي المغرب التطواني,المغرب التطواني,تطوان,https://media.api-sports.io/football/teams/965.png,,
MAR,الدوري المغربي,1075,Mouloudia Oujda,,نادي المولودية الوجدية,المولودية الوجدية,وجدة,https://media.api-sports.io/football/teams/1075.png,,
MAR,الدوري المغربي,6387,Chabab Mohammédia,,نادي شباب المحمدية,شباب المحمدية,المحمدية,https://media.api-sports.io/football/teams/6387.png,,
MAR,الدوري المغربي,3456,Riadi Salmi,,نادي الشباب الرياضي السالمي,الشباب السالمي,السوالم,https://media.api-sports.io/football/teams/3456.png,,
MAR,الدوري المغربي,1074,Youssoufia Berrechid,,نادي يوسفية برشيد,يوسفية برشيد,برشيد,https://media.api-sports.io/football/teams/1074.png,,
MAR,الدوري المغربي,3455,Raja Beni Mellal,,نادي رجاء بني ملال,رجاء بني ملال,بني ملال,https://media.api-sports.io/football/teams/3455.png,,
MAR,الدوري المغربي,3451,El Massira,,نادي شباب المسيرة,شباب المسيرة,العيون,https://media.api-sports.io/football/teams/3451.png,,
MAR,الدوري المغربي,18753,Amal Tiznit,,نادي أمل تزنيت,أمل تزنيت,تزنيت,https://media.api-sports.io/football/teams/18753.png,,
MAR,الدوري المغربي,3458,Widad Témara,,نادي وداد تمارة,وداد تمارة,تمارة,https://media.api-sports.io/football/teams/3458.png,,
